block_group_id,income,k12_pop,poverty_rate,lat,lon,%Christian,%first_gen,total_pop,pct_black,pct_white,hh_with_u18,TRACTCE,county_fips,%Christian_old,church_count,churches_per_1k,estimated_christian_pct,%Christian_uniform
421010041031,62500,129,,39.919562545787706,-75.16211496830539,37.8,35.0,2444,0.0,19.0671031096563,281,4103,42101,25.0,14,5.728314238952537,37.8,36.3
421010390013,-666666666,69,,40.03426302353827,-75.08874642094196,37.6,35.0,808,14.480198019801978,4.579207920792079,100,39001,42101,25.0,4,4.950495049504951,37.6,36.3
421010390014,44082,207,,40.03273737341033,-75.08661089699882,37.2,35.0,1223,78.98609975470156,0.5723630417007358,285,39001,42101,25.0,4,3.270645952575634,37.2,36.3
421010041041,70431,24,,39.91703076440955,-75.16295022874169,38.1,35.0,1320,0.0,47.95454545454545,165,4104,42101,25.0,9,6.8181818181818175,38.1,36.3
421010041015,-666666666,13,,39.922172188603504,-75.15752715403654,40.8,35.0,634,0.0,43.84858044164038,63,4101,42101,25.0,13,20.50473186119874,40.8,36.3
421010041042,54300,20,,39.916527555415655,-75.1590378398473,37.4,35.0,2377,1.0096760622633572,28.43920908708456,183,4104,42101,25.0,10,4.206983592763988,37.4,36.3
421010041032,47378,75,,39.91905943437027,-75.15820484876937,37.8,35.0,2556,2.543035993740219,14.63223787167449,417,4103,42101,25.0,14,5.477308294209703,37.8,36.3
421010132004,-666666666,63,,39.96518730363567,-75.15628012806982,42.1,35.0,883,71.91392978482446,21.6308040770102,78,13200,42101,25.0,25,28.312570781426952,42.1,36.3
421010329001,53179,30,,40.034076482385615,-75.02599032539887,37.4,35.0,971,6.07621009268795,50.77239958805355,75,32900,42101,25.0,4,4.11946446961895,37.4,36.3
421010362021,92101,101,,40.078992089891294,-74.98034405656935,36.5,35.0,2564,1.326053042121685,72.30889235569423,286,36202,42101,25.0,2,0.7800312012480499,36.5,36.3
421019807021,-666666666,0,,39.91602738685781,-75.13891176639514,36.3,35.0,0,,,0,980702,42101,25.0,0,0.0,36.3,36.3
421019892007,-666666666,0,,39.88747299331456,-75.15579505156657,36.3,35.0,0,,,0,989200,42101,25.0,0,0.0,36.3,36.3
421010027022,111821,45,,39.92983566342559,-75.14914609367626,38.1,35.0,2125,13.08235294117647,68.09411764705882,183,2702,42101,25.0,15,7.058823529411765,38.1,36.3
421010001024,168988,30,,39.9529863931393,-75.14228930800991,40.7,35.0,407,9.090909090909092,90.9090909090909,5,102,42101,25.0,8,19.65601965601965,40.7,36.3
421010326001,93803,128,,40.03018621132989,-75.03943275123086,36.5,35.0,2801,18.064976794002146,44.377008211353086,415,32600,42101,25.0,2,0.7140307033202428,36.5,36.3
421010326003,86557,45,,40.0268159638977,-75.03694906773863,36.6,35.0,1723,9.286128845037725,67.09228090539756,173,32600,42101,25.0,2,1.1607661056297156,36.6,36.3
421010027011,63170,17,,39.926723581537296,-75.1541126244978,38.5,35.0,1972,7.606490872210954,53.24543610547667,155,2701,42101,25.0,17,8.620689655172413,38.5,36.3
421010366004,136250,4,,39.95896382419705,-75.13573454478248,42.7,35.0,186,0.0,87.63440860215054,12,36600,42101,25.0,6,32.25806451612903,42.7,36.3
