block_group_id,income,k12_pop,poverty_rate,total_pop,%Christian,%first_gen,state,county,lat,lon
421010011012,57813,84,0.0,1303,36.3,35.0,42,101,39.94383006630544,-75.16277186780233
421010011013,41502,151,0.0,1505,36.3,35.0,42,101,39.94531050845981,-75.16091396938052
421010011014,76731,22,0.0,891,36.3,35.0,42,101,39.94575369686668,-75.16284217484197
421010011021,106128,19,0.0,1741,36.3,35.0,42,101,39.9449699312753,-75.1581610224661
421010011022,67419,25,0.0,370,36.3,35.0,42,101,39.94457324003548,-75.15501211444818
421010011023,250001,84,0.0,611,36.3,35.0,42,101,39.94310885900584,-75.15695060389032
421010012011,140446,61,0.0,621,36.3,35.0,42,101,39.94755254425616,-75.18338907799111
421010012012,169476,204,0.0,1534,36.3,35.0,42,101,39.94781484052657,-75.17732358375967
421010012013,116694,50,0.0,903,36.3,35.0,42,101,39.946010861852365,-75.1766014259356
421010012014,112591,53,0.0,1265,36.3,35.0,42,101,39.946433553651644,-75.18000529588774
421010012031,84728,111,0.0,1115,36.3,35.0,42,101,39.94559225046029,-75.17327257971667
421010012032,159500,44,0.0,834,36.3,35.0,42,101,39.94726118767208,-75.17290655646451
421010012041,73421,47,0.0,1201,36.3,35.0,42,101,39.94677455389585,-75.16897544317561
421010012042,113333,69,0.0,940,36.3,35.0,42,101,39.9452497027567,-75.16985535151603
421010012043,104219,39,0.0,993,36.3,35.0,42,101,39.9452005027268,-75.16655340146131
421010013011,153250,93,0.0,889,36.3,35.0,42,101,39.940571232006384,-75.1796251526185
421010013012,-666666666,11,0.0,978,36.3,35.0,42,101,39.940965556840325,-75.1837169808244
421010013021,89500,0,0.0,489,36.3,35.0,42,101,39.944313069121776,-75.17874720914122
421010013022,97167,51,0.0,809,36.3,35.0,42,101,39.942550472081464,-75.17919421788254
421010013023,117759,393,0.0,1670,36.3,35.0,42,101,39.942966131557114,-75.18195679049856
421010013024,158750,99,0.0,1794,36.3,35.0,42,101,39.94343130402453,-75.18712529819564
421010014001,102303,163,0.0,1229,36.3,35.0,42,101,39.94299652015828,-75.17334375872456
421010014002,108125,63,0.0,861,36.3,35.0,42,101,39.94366397037287,-75.17629784703121
421010014003,67471,41,0.0,1911,36.3,35.0,42,101,39.94265748370046,-75.16853981059324
421010015001,70240,35,0.0,763,36.3,35.0,42,101,39.94135009995284,-75.15451598793216
421010015002,124760,357,0.0,2488,36.3,35.0,42,101,39.942147627123,-75.16114279867196
421010016001,132250,16,0.0,1335,36.3,35.0,42,101,39.9405366267886,-75.15013223227926
421010016002,203333,236,0.0,1093,36.3,35.0,42,101,39.939913077633044,-75.14610894576933
421010017001,114496,95,0.0,1078,36.3,35.0,42,101,39.93731743825518,-75.14629775824815
421010017002,160500,383,0.0,1900,36.3,35.0,42,101,39.9382540451416,-75.1507217124233
421010018001,122188,188,0.0,2332,36.3,35.0,42,101,39.939620838624286,-75.15666385764271
421010018002,100156,77,0.0,968,36.3,35.0,42,101,39.94059311663994,-75.16344903026567
421010019001,165536,24,0.0,1009,36.3,35.0,42,101,39.940763537710524,-75.17226684552071
421010019002,151845,32,0.0,1558,36.3,35.0,42,101,39.94018477828761,-75.17533183503642
421010019003,107500,121,0.0,1076,36.3,35.0,42,101,39.93951495868405,-75.1687661208622
421010020001,118675,48,0.0,1295,36.3,35.0,42,101,39.93809898369309,-75.18254376609403
421010020002,-666666666,23,0.0,733,36.3,35.0,42,101,39.938206956219936,-75.18656405602796
421010021001,79375,96,0.0,806,36.3,35.0,42,101,39.937581784642646,-75.17882248044144
421010021002,111125,37,0.0,1557,36.3,35.0,42,101,39.937000596157304,-75.17571488339269
421010022001,73250,105,0.0,784,36.3,35.0,42,101,39.93701843368285,-75.16863366473275
421010022002,-666666666,12,0.0,810,36.3,35.0,42,101,39.93512788202349,-75.16981439917608
421010022003,42292,127,0.0,824,36.3,35.0,42,101,39.93684360811549,-75.17194196596986
421010023001,93472,194,0.0,1254,36.3,35.0,42,101,39.93564707542221,-75.16375099612146
421010023002,120509,68,0.0,1717,36.3,35.0,42,101,39.93440765317074,-75.16259317063243
421010024001,123882,90,0.0,803,36.3,35.0,42,101,39.9371545339751,-75.15483371417977
421010024002,126719,60,0.0,1062,36.3,35.0,42,101,39.933922220295415,-75.15608155855672
421010024003,-666666666,40,0.0,763,36.3,35.0,42,101,39.93748693795322,-75.15934390772601
421010024004,90882,53,0.0,956,36.3,35.0,42,101,39.936057353797445,-75.15691389206131
421010024005,90625,100,0.0,1123,36.3,35.0,42,101,39.93799366412452,-75.16397642624152
421010025001,72639,161,0.0,1254,36.3,35.0,42,101,39.934632903991606,-75.14890435651652
421010025002,179000,63,0.0,1141,36.3,35.0,42,101,39.93339474646474,-75.1468462650471
421010025003,-666666666,72,0.0,609,36.3,35.0,42,101,39.93272035037717,-75.15196356268491
421010025004,63125,343,0.0,1345,36.3,35.0,42,101,39.93538794955171,-75.15221199756634
421010027011,63170,197,0.0,1972,36.3,35.0,42,101,39.92672355668883,-75.15411262641427
421010027012,98859,116,0.0,1849,36.3,35.0,42,101,39.930382869563346,-75.15329365518147
421010027021,80515,205,0.0,2282,36.3,35.0,42,101,39.926178726876316,-75.14997705711887
421010027022,111821,241,0.0,2125,36.3,35.0,42,101,39.92983563810029,-75.1491460929226
421010028011,70224,167,0.0,1834,36.3,35.0,42,101,39.930800205323905,-75.1564259377331
421010028012,74100,396,0.0,2400,36.3,35.0,42,101,39.92714031539271,-75.1572390906633
